hour,sol_Pnet_pcc,sol_Pgrid_imp,sol_Pgrid_exp,sol_Ppv1,sol_Ppv2,sol_Ppv3,sol_E_bat1,sol_Pch_bat1,sol_Pdis_bat1,sol_E_bat2,sol_Pch_bat2,sol_Pdis_bat2,sol_E_bat3,sol_Pch_bat3,sol_Pdis_bat3,sol_Pnet_house1,sol_Pnet_house2,sol_Pnet_house3,sol_Pgrid_house_imp1,sol_Pgrid_house_imp2,sol_Pgrid_house_imp3,sol_Pgrid_house_exp1,sol_Pgrid_house_exp2,sol_Pgrid_house_exp3,sol_cost_house_step1,sol_cost_house_step2,sol_cost_house_step3,vec_objective_Value
18.0,0.0,0.0,0.0,0.008,0.0,0.024,2.459,0.0,0.58,3.069,0.0,0.564,7.884,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.5,-3.292,0.0,3.292,0.0,0.0,0.0,2.107,0.0,0.668,2.718,0.0,0.668,6.048,0.0,3.488,0.0,0.0,-3.292,0.0,0.0,0.0,0.0,0.0,3.292,0.0,0.0,-16.493,0.0
19.0,-3.908,0.0,3.908,0.0,0.0,0.0,1.625,0.0,0.916,2.368,0.0,0.664,3.943,0.0,4.0,0.0,0.0,-3.908,0.0,0.0,0.0,0.0,0.0,3.908,0.0,0.0,-20.517,0.0
19.5,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.428,2.008,0.0,0.684,3.834,0.0,0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.156,0.0,0.464,1.579,0.0,0.816,3.686,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.688,0.0,0.888,0.874,0.0,1.34,3.168,0.0,0.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,1.092,1.092,0.0,0.0,0.0,0.0,0.688,0.0,0.0,0.874,0.0,0.0,2.707,0.0,0.876,0.488,0.604,0.0,0.488,0.604,0.0,0.0,0.0,0.0,2.647,3.276,0.0,0.0
21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.548,0.6,0.0,0.52,2.269,0.0,0.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,1.344,1.344,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.0,1.806,0.0,0.88,0.684,0.66,0.0,0.684,0.66,0.0,0.0,0.0,0.0,3.62,3.493,0.0,0.0
22.5,1.804,1.804,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.0,1.806,0.0,0.0,0.448,0.532,0.824,0.448,0.532,0.824,0.0,0.0,0.0,2.234,2.653,4.11,0.0
23.0,3.789,3.789,0.0,0.0,0.0,0.0,0.8,0.842,0.0,1.2,1.263,0.0,1.806,0.0,0.0,1.346,1.519,0.924,1.346,1.519,0.924,0.0,0.0,0.0,6.558,7.401,4.502,0.0
23.5,1.34,1.34,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.72,0.0,0.164,0.984,0.356,0.0,0.984,0.356,0.0,0.0,0.0,0.0,5.099,1.845,0.0,0.0
24.0,0.86,0.86,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.228,0.548,0.312,0.0,0.548,0.312,0.0,0.0,0.0,0.0,2.84,1.617,0.0,0.0
